;preposition;Example;regular/irregular;Presente;;;;;;Pretérito Perfeito;;;;;;Pretérito Imperfeito;;;;;;Pretérito mais-que-perfeito;;;;;;Futuro do Presente;;;;;;Subjuntivo Presente;;;;;;Subjuntivo Pretérito Imperfeito;;;;;;Subjuntivo Futuro;;;;;;Infinitivo Pessoal;;;;;;Futuro do Pretérito;;;;;;Imperativo Afirmativo;;;;;Imperativo Negativo;;;;;Gerúndio;Particípio passado
estalar;;;R;estalo;estalas;estala;estalamos;estalais;estalam;estalei;estalaste;estalou;estalámos;estalastes;estalaram;estalava;estalavas;estalava;estalávamos;estaláveis;estalavam;estalara;estalaras;estalara;estaláramos;estaláreis;estalaram;estalarei;estalarás;estalará;estalaremos;estalareis;estalarão;estale;estales;estale;estalemos;estaleis;estalem;estalasse;estalasses;estalasse;estalássemos;estalásseis;estalassem;estalar;estalares;estalar;estalarmos;estalardes;estalarem;estalar;estalares;estalar;estalarmos;estalardes;estalarem;estalaria;estalarias;estalaria;estalaríamos;estalaríeis;estalariam;estala;estale;estalemos;estalai;estalem;estales;estale;estalemos;estaleis;estalem;estalando;estalado
comportar;;;R;comporto;comportas;comporta;comportamos;comportais;comportam;comportei;comportaste;comportou;comportámos;comportastes;comportaram;comportava;comportavas;comportava;comportávamos;comportáveis;comportavam;comportara;comportaras;comportara;comportáramos;comportáreis;comportaram;comportarei;comportarás;comportará;comportaremos;comportareis;comportarão;comporte;comportes;comporte;comportemos;comporteis;comportem;comportasse;comportasses;comportasse;comportássemos;comportásseis;comportassem;comportar;comportares;comportar;comportarmos;comportardes;comportarem;comportar;comportares;comportar;comportarmos;comportardes;comportarem;comportaria;comportarias;comportaria;comportaríamos;comportaríeis;comportariam;comporta;comporte;comportemos;comportai;comportem;comportes;comporte;comportemos;comporteis;comportem;comportando;comportado
valorizar;;;R;valorizo;valorizas;valoriza;valorizamos;valorizais;valorizam;valorizei;valorizaste;valorizou;valorizámos;valorizastes;valorizaram;valorizava;valorizavas;valorizava;valorizávamos;valorizáveis;valorizavam;valorizara;valorizaras;valorizara;valorizáramos;valorizáreis;valorizaram;valorizarei;valorizarás;valorizará;valorizaremos;valorizareis;valorizarão;valorize;valorizes;valorize;valorizemos;valorizeis;valorizem;valorizasse;valorizasses;valorizasse;valorizássemos;valorizásseis;valorizassem;valorizar;valorizares;valorizar;valorizarmos;valorizardes;valorizarem;valorizar;valorizares;valorizar;valorizarmos;valorizardes;valorizarem;valorizaria;valorizarias;valorizaria;valorizaríamos;valorizaríeis;valorizariam;valoriza;valorize;valorizemos;valorizai;valorizem;valorizes;valorize;valorizemos;valorizeis;valorizem;valorizando;valorizado
suspeitar;;;R;suspeito;suspeitas;suspeita;suspeitamos;suspeitais;suspeitam;suspeitei;suspeitaste;suspeitou;suspeitámos;suspeitastes;suspeitaram;suspeitava;suspeitavas;suspeitava;suspeitávamos;suspeitáveis;suspeitavam;suspeitara;suspeitaras;suspeitara;suspeitáramos;suspeitáreis;suspeitaram;suspeitarei;suspeitarás;suspeitará;suspeitaremos;suspeitareis;suspeitarão;suspeite;suspeites;suspeite;suspeitemos;suspeiteis;suspeitem;suspeitasse;suspeitasses;suspeitasse;suspeitássemos;suspeitásseis;suspeitassem;suspeitar;suspeitares;suspeitar;suspeitarmos;suspeitardes;suspeitarem;suspeitar;suspeitares;suspeitar;suspeitarmos;suspeitardes;suspeitarem;suspeitaria;suspeitarias;suspeitaria;suspeitaríamos;suspeitaríeis;suspeitariam;suspeita;suspeite;suspeitemos;suspeitai;suspeitem;suspeites;suspeite;suspeitemos;suspeiteis;suspeitem;suspeitando;suspeitado
prevenir;;;I;previno;prevines;previne;prevenimos;prevenis;previnem;preveni;preveniste;preveniu;prevenimos;prevenistes;preveniram;prevenia;prevenias;prevenia;preveníamos;preveníeis;preveniam;prevenira;preveniras;prevenira;preveníramos;preveníreis;preveniram;prevenirei;prevenirás;prevenirá;preveniremos;prevenireis;prevenirão;previna;previnas;previna;previnamos;previnais;previnam;prevenisse;prevenisses;prevenisse;preveníssemos;prevenísseis;prevenissem;prevenir;prevenires;prevenir;prevenirmos;prevenirdes;prevenirem;prevenir;prevenires;prevenir;prevenirmos;prevenirdes;prevenirem;preveniria;prevenirias;preveniria;preveniríamos;preveniríeis;preveniriam;previne;previna;previnamos;preveni;previnam;previnas;previna;previnamos;previnais;previnam;prevenindo;prevenido
deslizar;;;R;deslizo;deslizas;desliza;deslizamos;deslizais;deslizam;deslizei;deslizaste;deslizou;deslizámos;deslizastes;deslizaram;deslizava;deslizavas;deslizava;deslizávamos;deslizáveis;deslizavam;deslizara;deslizaras;deslizara;deslizáramos;deslizáreis;deslizaram;deslizarei;deslizarás;deslizará;deslizaremos;deslizareis;deslizarão;deslize;deslizes;deslize;deslizemos;deslizeis;deslizem;deslizasse;deslizasses;deslizasse;deslizássemos;deslizásseis;deslizassem;deslizar;deslizares;deslizar;deslizarmos;deslizardes;deslizarem;deslizar;deslizares;deslizar;deslizarmos;deslizardes;deslizarem;deslizaria;deslizarias;deslizaria;deslizaríamos;deslizaríeis;deslizariam;desliza;deslize;deslizemos;deslizai;deslizem;deslizes;deslize;deslizemos;deslizeis;deslizem;deslizando;deslizado
dissolver;;;R;dissolvo;dissolves;dissolve;dissolvemos;dissolveis;dissolvem;dissolvi;dissolveste;dissolveu;dissolvemos;dissolvestes;dissolveram;dissolvia;dissolvias;dissolvia;dissolvíamos;dissolvíeis;dissolviam;dissolvera;dissolveras;dissolvera;dissolvêramos;dissolvêreis;dissolveram;dissolverei;dissolverás;dissolverá;dissolveremos;dissolvereis;dissolverão;dissolva;dissolvas;dissolva;dissolvamos;dissolvais;dissolvam;dissolvesse;dissolvesses;dissolvesse;dissolvêssemos;dissolvêsseis;dissolvessem;dissolver;dissolveres;dissolver;dissolvermos;dissolverdes;dissolverem;dissolver;dissolveres;dissolver;dissolvermos;dissolverdes;dissolverem;dissolveria;dissolverias;dissolveria;dissolveríamos;dissolveríeis;dissolveriam;dissolve;dissolva;dissolvamos;dissolvei;dissolvam;dissolvas;dissolva;dissolvamos;dissolvais;dissolvam;dissolvendo;dissolvido
induzir;;;I;induzo;induzes;induz;induzimos;induzis;induzem;induzi;induziste;induziu;induzimos;induzistes;induziram;induzia;induzias;induzia;induzíamos;induzíeis;induziam;induzira;induziras;induzira;induzíramos;induzíreis;induziram;induzirei;induzirás;induzirá;induziremos;induzireis;induzirão;induza;induzas;induza;induzamos;induzais;induzam;induzisse;induzisses;induzisse;induzíssemos;induzísseis;induzissem;induzir;induzires;induzir;induzirmos;induzirdes;induzirem;induzir;induzires;induzir;induzirmos;induzirdes;induzirem;induziria;induzirias;induziria;induziríamos;induziríeis;induziriam;induze;induza;induzamos;induzi;induzam;induzas;induza;induzamos;induzais;induzam;induzindo;induzido
inclinar;;;R;inclino;inclinas;inclina;inclinamos;inclinais;inclinam;inclinei;inclinaste;inclinou;inclinámos;inclinastes;inclinaram;inclinava;inclinavas;inclinava;inclinávamos;inclináveis;inclinavam;inclinara;inclinaras;inclinara;inclináramos;inclináreis;inclinaram;inclinarei;inclinarás;inclinará;inclinaremos;inclinareis;inclinarão;incline;inclines;incline;inclinemos;inclineis;inclinem;inclinasse;inclinasses;inclinasse;inclinássemos;inclinásseis;inclinassem;inclinar;inclinares;inclinar;inclinarmos;inclinardes;inclinarem;inclinar;inclinares;inclinar;inclinarmos;inclinardes;inclinarem;inclinaria;inclinarias;inclinaria;inclinaríamos;inclinaríeis;inclinariam;inclina;incline;inclinemos;inclinai;inclinem;inclines;incline;inclinemos;inclineis;inclinem;inclinando;inclinado
berrar;;;R;berro;berras;berra;berramos;berrais;berram;berrei;berraste;berrou;berrámos;berrastes;berraram;berrava;berravas;berrava;berrávamos;berráveis;berravam;berrara;berraras;berrara;berráramos;berráreis;berraram;berrarei;berrarás;berrará;berraremos;berrareis;berrarão;berre;berres;berre;berremos;berreis;berrem;berrasse;berrasses;berrasse;berrássemos;berrásseis;berrassem;berrar;berrares;berrar;berrarmos;berrardes;berrarem;berrar;berrares;berrar;berrarmos;berrardes;berrarem;berraria;berrarias;berraria;berraríamos;berraríeis;berrariam;berra;berre;berremos;berrai;berrem;berres;berre;berremos;berreis;berrem;berrando;berrado
abanar;;;R;abano;abanas;abana;abanamos;abanais;abanam;abanei;abanaste;abanou;abanámos;abanastes;abanaram;abanava;abanavas;abanava;abanávamos;abanáveis;abanavam;abanara;abanaras;abanara;abanáramos;abanáreis;abanaram;abanarei;abanarás;abanará;abanaremos;abanareis;abanarão;abane;abanes;abane;abanemos;abaneis;abanem;abanasse;abanasses;abanasse;abanássemos;abanásseis;abanassem;abanar;abanares;abanar;abanarmos;abanardes;abanarem;abanar;abanares;abanar;abanarmos;abanardes;abanarem;abanaria;abanarias;abanaria;abanaríamos;abanaríeis;abanariam;abana;abane;abanemos;abanai;abanem;abanes;abane;abanemos;abaneis;abanem;abanando;abanado
emergir;;;I;;emerges;emerge;emergimos;emergis;emergem;emergi;emergiste;emergiu;emergimos;emergistes;emergiram;emergia;emergias;emergia;emergíamos;emergíeis;emergiam;emergira;emergiras;emergira;emergíramos;emergíreis;emergiram;emergirei;emergirás;emergirá;emergiremos;emergireis;emergirão;;;;;;;emergisse;emergisses;emergisse;emergíssemos;emergísseis;emergissem;emergir;emergires;emergir;emergirmos;emergirdes;emergirem;emergir;emergires;emergir;emergirmos;emergirdes;emergirem;emergiria;emergirias;emergiria;emergiríamos;emergiríeis;emergiriam;emerge;;;emergi;;;;;;;emergindo;emergido|emerso
esfregar;;;R;esfrego;esfregas;esfrega;esfregamos;esfregais;esfregam;esfreguei;esfregaste;esfregou;esfreguámos;esfregastes;esfregaram;esfregava;esfregavas;esfregava;esfreguávamos;esfreguáveis;esfregavam;esfregara;esfregaras;esfregara;esfreguáramos;esfreguáreis;esfregaram;esfregarei;esfregarás;esfregará;esfregaremos;esfregareis;esfregarão;esfregue;esfregues;esfregue;esfreguemos;esfregueis;esfreguem;esfregasse;esfregasses;esfregasse;esfreguássemos;esfreguásseis;esfregassem;esfregar;esfregares;esfregar;esfregarmos;esfregardes;esfregarem;esfregar;esfregares;esfregar;esfregarmos;esfregardes;esfregarem;esfregaria;esfregarias;esfregaria;esfregaríamos;esfregaríeis;esfregariam;esfrega;esfregue;esfreguemos;esfregai;esfreguem;esfregues;esfregue;esfreguemos;esfregueis;esfreguem;esfregando;esfregado
enriquecer;;;R;enriqueço;enriqueces;enriquece;enriquecemos;enriqueceis;enriquecem;enriqueci;enriqueceste;enriqueceu;enriquecemos;enriquecestes;enriqueceram;enriquecia;enriquecias;enriquecia;enriquecíamos;enriquecíeis;enriqueciam;enriquecera;enriqueceras;enriquecera;enriquecêramos;enriquecêreis;enriqueceram;enriquecerei;enriquecerás;enriquecerá;enriqueceremos;enriquecereis;enriquecerão;enriqueça;enriqueças;enriqueça;enriqueçamos;enriqueçais;enriqueçam;enriquecesse;enriquecesses;enriquecesse;enriquecêssemos;enriquecêsseis;enriquecessem;enriquecer;enriqueceres;enriquecer;enriquecermos;enriquecerdes;enriquecerem;enriquecer;enriqueceres;enriquecer;enriquecermos;enriquecerdes;enriquecerem;enriqueceria;enriquecerias;enriqueceria;enriqueceríamos;enriqueceríeis;enriqueceriam;enriquece;enriqueça;enriqueçamos;enriquecei;enriqueçam;enriqueças;enriqueça;enriqueçamos;enriqueçais;enriqueçam;enriquecendo;enriquecido
compensar;;;R;compenso;compensas;compensa;compensamos;compensais;compensam;compensei;compensaste;compensou;compensámos;compensastes;compensaram;compensava;compensavas;compensava;compensávamos;compensáveis;compensavam;compensara;compensaras;compensara;compensáramos;compensáreis;compensaram;compensarei;compensarás;compensará;compensaremos;compensareis;compensarão;compense;compenses;compense;compensemos;compenseis;compensem;compensasse;compensasses;compensasse;compensássemos;compensásseis;compensassem;compensar;compensares;compensar;compensarmos;compensardes;compensarem;compensar;compensares;compensar;compensarmos;compensardes;compensarem;compensaria;compensarias;compensaria;compensaríamos;compensaríeis;compensariam;compensa;compense;compensemos;compensai;compensem;compenses;compense;compensemos;compenseis;compensem;compensando;compensado
pressionar;;;R;pressiono;pressionas;pressiona;pressionamos;pressionais;pressionam;pressionei;pressionaste;pressionou;pressionámos;pressionastes;pressionaram;pressionava;pressionavas;pressionava;pressionávamos;pressionáveis;pressionavam;pressionara;pressionaras;pressionara;pressionáramos;pressionáreis;pressionaram;pressionarei;pressionarás;pressionará;pressionaremos;pressionareis;pressionarão;pressione;pressiones;pressione;pressionemos;pressioneis;pressionem;pressionasse;pressionasses;pressionasse;pressionássemos;pressionásseis;pressionassem;pressionar;pressionares;pressionar;pressionarmos;pressionardes;pressionarem;pressionar;pressionares;pressionar;pressionarmos;pressionardes;pressionarem;pressionaria;pressionarias;pressionaria;pressionaríamos;pressionaríeis;pressionariam;pressiona;pressione;pressionemos;pressionai;pressionem;pressiones;pressione;pressionemos;pressioneis;pressionem;pressionando;pressionado
encomendar;;;R;encomendo;encomendas;encomenda;encomendamos;encomendais;encomendam;encomendei;encomendaste;encomendou;encomendámos;encomendastes;encomendaram;encomendava;encomendavas;encomendava;encomendávamos;encomendáveis;encomendavam;encomendara;encomendaras;encomendara;encomendáramos;encomendáreis;encomendaram;encomendarei;encomendarás;encomendará;encomendaremos;encomendareis;encomendarão;encomende;encomendes;encomende;encomendemos;encomendeis;encomendem;encomendasse;encomendasses;encomendasse;encomendássemos;encomendásseis;encomendassem;encomendar;encomendares;encomendar;encomendarmos;encomendardes;encomendarem;encomendar;encomendares;encomendar;encomendarmos;encomendardes;encomendarem;encomendaria;encomendarias;encomendaria;encomendaríamos;encomendaríeis;encomendariam;encomenda;encomende;encomendemos;encomendai;encomendem;encomendes;encomende;encomendemos;encomendeis;encomendem;encomendando;encomendado
desafiar;;;R;desafio;desafias;desafia;desafiamos;desafiais;desafiam;desafiei;desafiaste;desafiou;desafiámos;desafiastes;desafiaram;desafiava;desafiavas;desafiava;desafiávamos;desafiáveis;desafiavam;desafiara;desafiaras;desafiara;desafiáramos;desafiáreis;desafiaram;desafiarei;desafiarás;desafiará;desafiaremos;desafiareis;desafiarão;desafie;desafies;desafie;desafiemos;desafieis;desafiem;desafiasse;desafiasses;desafiasse;desafiássemos;desafiásseis;desafiassem;desafiar;desafiares;desafiar;desafiarmos;desafiardes;desafiarem;desafiar;desafiares;desafiar;desafiarmos;desafiardes;desafiarem;desafiaria;desafiarias;desafiaria;desafiaríamos;desafiaríeis;desafiariam;desafia;desafie;desafiemos;desafiai;desafiem;desafies;desafie;desafiemos;desafieis;desafiem;desafiando;desafiado
isolar;;;R;isolo;isolas;isola;isolamos;isolais;isolam;isolei;isolaste;isolou;isolámos;isolastes;isolaram;isolava;isolavas;isolava;isolávamos;isoláveis;isolavam;isolara;isolaras;isolara;isoláramos;isoláreis;isolaram;isolarei;isolarás;isolará;isolaremos;isolareis;isolarão;isole;isoles;isole;isolemos;isoleis;isolem;isolasse;isolasses;isolasse;isolássemos;isolásseis;isolassem;isolar;isolares;isolar;isolarmos;isolardes;isolarem;isolar;isolares;isolar;isolarmos;isolardes;isolarem;isolaria;isolarias;isolaria;isolaríamos;isolaríeis;isolariam;isola;isole;isolemos;isolai;isolem;isoles;isole;isolemos;isoleis;isolem;isolando;isolado
tapar;;;R;tapo;tapas;tapa;tapamos;tapais;tapam;tapei;tapaste;tapou;tapámos;tapastes;taparam;tapava;tapavas;tapava;tapávamos;tapáveis;tapavam;tapara;taparas;tapara;tapáramos;tapáreis;taparam;taparei;taparás;tapará;taparemos;tapareis;taparão;tape;tapes;tape;tapemos;tapeis;tapem;tapasse;tapasses;tapasse;tapássemos;tapásseis;tapassem;tapar;tapares;tapar;taparmos;tapardes;taparem;tapar;tapares;tapar;taparmos;tapardes;taparem;taparia;taparias;taparia;taparíamos;taparíeis;tapariam;tapa;tape;tapemos;tapai;tapem;tapes;tape;tapemos;tapeis;tapem;tapando;tapado
avistar;;;R;avisto;avistas;avista;avistamos;avistais;avistam;avistei;avistaste;avistou;avistámos;avistastes;avistaram;avistava;avistavas;avistava;avistávamos;avistáveis;avistavam;avistara;avistaras;avistara;avistáramos;avistáreis;avistaram;avistarei;avistarás;avistará;avistaremos;avistareis;avistarão;aviste;avistes;aviste;avistemos;avisteis;avistem;avistasse;avistasses;avistasse;avistássemos;avistásseis;avistassem;avistar;avistares;avistar;avistarmos;avistardes;avistarem;avistar;avistares;avistar;avistarmos;avistardes;avistarem;avistaria;avistarias;avistaria;avistaríamos;avistaríeis;avistariam;avista;aviste;avistemos;avistai;avistem;avistes;aviste;avistemos;avisteis;avistem;avistando;avistado
anular;;;R;anulo;anulas;anula;anulamos;anulais;anulam;anulei;anulaste;anulou;anulámos;anulastes;anularam;anulava;anulavas;anulava;anulávamos;anuláveis;anulavam;anulara;anularas;anulara;anuláramos;anuláreis;anularam;anularei;anularás;anulará;anularemos;anulareis;anularão;anule;anules;anule;anulemos;anuleis;anulem;anulasse;anulasses;anulasse;anulássemos;anulásseis;anulassem;anular;anulares;anular;anularmos;anulardes;anularem;anular;anulares;anular;anularmos;anulardes;anularem;anularia;anularias;anularia;anularíamos;anularíeis;anulariam;anula;anule;anulemos;anulai;anulem;anules;anule;anulemos;anuleis;anulem;anulando;anulado
gerir;;;I;giro;geres;gere;gerimos;geris;gerem;geri;geriste;geriu;gerimos;geristes;geriram;geria;gerias;geria;geríamos;geríeis;geriam;gerira;geriras;gerira;geríramos;geríreis;geriram;gerirei;gerirás;gerirá;geriremos;gerireis;gerirão;gira;giras;gira;giramos;girais;giram;gerisse;gerisses;gerisse;geríssemos;gerísseis;gerissem;gerir;gerires;gerir;gerirmos;gerirdes;gerirem;gerir;gerires;gerir;gerirmos;gerirdes;gerirem;geriria;geririas;geriria;geriríamos;geriríeis;geririam;gere;gira;giramos;geri;giram;giras;gira;giramos;girais;giram;gerindo;gerido
reinar;;;R;reino;reinas;reina;reinamos;reinais;reinam;reinei;reinaste;reinou;reinámos;reinastes;reinaram;reinava;reinavas;reinava;reinávamos;reináveis;reinavam;reinara;reinaras;reinara;reináramos;reináreis;reinaram;reinarei;reinarás;reinará;reinaremos;reinareis;reinarão;reine;reines;reine;reinemos;reineis;reinem;reinasse;reinasses;reinasse;reinássemos;reinásseis;reinassem;reinar;reinares;reinar;reinarmos;reinardes;reinarem;reinar;reinares;reinar;reinarmos;reinardes;reinarem;reinaria;reinarias;reinaria;reinaríamos;reinaríeis;reinariam;reina;reine;reinemos;reinai;reinem;reines;reine;reinemos;reineis;reinem;reinando;reinado
recear;;;R;receo;receas;recea;receamos;receais;receam;receei;receaste;receou;receámos;receastes;recearam;receava;receavas;receava;receávamos;receáveis;receavam;receara;recearas;receara;receáramos;receáreis;recearam;recearei;recearás;receará;recearemos;receareis;recearão;recee;recees;recee;receemos;receeis;receem;receasse;receasses;receasse;receássemos;receásseis;receassem;recear;receares;recear;recearmos;receardes;recearem;recear;receares;recear;recearmos;receardes;recearem;recearia;recearias;recearia;recearíamos;recearíeis;receariam;recea;recee;receemos;receai;receem;recees;recee;receemos;receeis;receem;receando;receado
